,abgegeben,q01_[sd1]_gender,q02_[sd2]_age,q03_[sd3]_international,q04_[sd4]_education_level,q05_[sd5]_second_degree,q06_[sd6]_finance->eltern,q06_[sd6]_finance->bafög,q06_[sd6]_finance->stipendium,q06_[sd6]_finance->nebenjob,q06_[sd6]_finance->anderes,q07_[sd7]_job_status,q08_[sd8]_income_level,q09_[sd10]_degree_mother,q10_[sd11]_degree_father,q11_[sd12]_degree_siblings,q12_[sd13]_housing,q13_[sc1]_study_choice_major,q14_[sc2]_study_choice_minor,q15_[sc3]_study_model,q16_[sc4]_impact_study_model,q17_[sc5]_reasoning_study_choice,q18_[sc6]_expectations,q19_[sc7]_learning-expectations,q20_[sc8]_expect_responsibility,q21_[sc9]_expect_critique,q22_[sc10]_expect_methods,q23_[se]_information_datax->bekanntheit_datax,q24_[sc11]_expect_datax,q25_[sc12]_anticipation,q26_[ls]_preparation->writing,q26_[ls]_preparation->presenting,q26_[ls]_preparation->reading,q26_[ls]_preparation->mgmt,q26_[ls]_preparation->coop,q27_[sc13]_social_inclusion->eingebundenheit_in_lüneburg,q27_[sc13]_social_inclusion->eingebundenheit_an_der_leuphana_universität,q28_[sc14]_challenges->leuphana-semester,q28_[sc14]_challenges->selbstorganisation,q28_[sc14]_challenges->alltag,q28_[sc14]_challenges->wiss-arbeiten,q29_[sc15]_importance->nachhaltigkeit,q29_[sc15]_importance->technologie,q30_[sc16]_def_sustainability,q31_[sc17]_def_science,q32_[sc18]_def_critical_thinking,q33_[sc18]_def_it,q34_[resp]_motivation_to_learn->ich_lerne_gerne_neue_dinge,"q34_[resp]_motivation_to_learn->ich_mag_es,_neuen_dingen_auf_den_grund_zu_gehen","q34_[resp]_motivation_to_learn->ich_mag_es,_herauszufinden,_wie_verschiedene_ideen_zusammenpassen","q34_[resp]_motivation_to_learn->wenn_ich_etwas_nicht_verstehe,_suche_ich_nach_zusätzlichen_informationen,_um_es_klarer_zu_machen",q35_[ml1]_interests->sprachen,q35_[ml1]_interests->naturwissenschaftlich-technische_fächer,q35_[ml1]_interests->sozial-/geisteswissenschaftliche_fächer,q35_[ml1]_interests->künstlerisch-musische_fächer,q35_[ml1]_interests->wirtschaftliche_fächer,q35_[ml1]_interests->andere,q36_[ml2]_study_goals->einkommen,q36_[ml2]_study_goals->kurse,q36_[ml2]_study_goals->helfen,q36_[ml2]_study_goals->optionen,q36_[ml2]_study_goals->umwelt,q36_[ml2]_study_goals->selbstständigkeit,q36_[ml2]_study_goals->jobchancen,q36_[ml2]_study_goals->jobsicherheit,q36_[ml2]_study_goals->lüneburg,q37_[ml3]_volunteering,q38_[ml4]_gender_relevance,q39_[ml5]_gender_expectations,q40_[ml6]_relatives_in_field,q41_[ml8]_uncertainty_major_choice->sicherheit_der_studienwahl,q42_[resp]_knowledge->gerechtigkeit,q42_[resp]_knowledge->verantwortung,q42_[resp]_knowledge->nachhaltigkeit,q42_[resp]_knowledge->transformation,q42_[resp]_knowledge->sustainable_development_goals_(sdgs),q43_[resp]_relevance->gerechtigkeit,q43_[resp]_relevance->verantwortung,q43_[resp]_relevance->nachhaltigkeit,q43_[resp]_relevance->transformation,q43_[resp]_relevance->sustainable_development_goals_(sdgs),q44_[resp]_trust_in_science->vertrauen_in_wissenschaft,q45_[resp]_preparation->vorbereitung_auf_herausforderungen_der_zukunft,q46_[fq1]_cats_or_dogs,q47_[fq2]_dog_owner,q48_[fq3]_nutella,q49_[fq4]_favourite_social_media,q50_[fq5]_means_of_transport,q51_[fq6]_favourite_movie_genre,q52_[fq7]_greetings,q53_[fq8]_chatgpt_use->nutzung_ki-sprachmodell,q54_[fq9]_reading_frequency->lesen,q55_[fq10]_sleep_schedule->aufstehen,q56_[fq11]_books_per_year,q57_[fq12]_pairs_of_shoes,q58_[fq13]_age_choice,q59_[fq14]_time_outside,q60_[fq15]_social_media_time,q61_[fq16]_finger_length,q62_[fq17]_height,q63_[fq18]_distance_to_uni,q64_[fq20]_activity_recommendation,q65_[use]_for_teaching_and_science
0,2024-10-14 14:01:42,2 : männlich,21.0,1,2 : Abitur,0,1,1,0,0,0,1 : Vollzeit-Student/in ohne Nebenjob,2 : 300 - 500 Euro,2 : Nein,1 : Ja,2 : Nein,3 : Eltern,Lehramt Biologie,Digital Business ,1,"das abheben, einem lassen, Schön gewesen, Kombination",universität Größtenteils Universität. gegeben.,"Überforderung, Bewirken, ,",Hobbies das bsten entwickeln in vertrauenswürdigen Horizon wissenschaftlichen,unabhängig des Privatperson für gesetzte Wissen und,eine hilft hinterfragen.,lernen zu Grundbaustein Vorlesung lernen,4.0,man im noch,me Seminare erlangen. den neue Studiengängen,4.0,5.0,3.0,3.0,4.0,3.0,3.0,2.0,3.0,2.0,2.0,3.0,4.0,die mich für zulegt ein,"Entdeckungen vermittelt Entdecken, Weiterbildung und zur und offen um",über den und Probleme und Betracht zu Ein Bestandteil,"für Verarbeiten, ich scientific, nahezu",4.0,4.0,4.0,3.0,1,0,1,0,0,0,3.0,3.0,3.0,4.0,2.0,5.0,5.0,5.0,3.0,0.0,0.0,1.0,0.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,4.0,3.0,4.0,3.0,1.0,0.0,0.0,3 : Instagram,3 : Bus,7 : Fantasy,4 : Handschlag,4.0,3.0,3.0,4.0,7.0,25.0,120.0,300.0,80.0,185.0,25.0,All-you-can-eat der Mensawiese,1.0
1,2024-10-20 14:24:04,1 : weiblich,21.0,0,2 : Abitur,0,0,1,0,1,0,2 : Vollzeit-Student/in mit Nebenjob,,1 : Ja,3 : Unbekannt,3 : Unbekannt,3 : Eltern,Psychology,Lehramt/ Sport,1,Beginn,studieren. Möglichkeit es Fachschaften. hat die ist angenommen für,"lernen, Kommunikation -Neugier",meinen der strukturiert ein Programmieren.,erlangen,lernen,im,2.0,einander Theorie zu erlernen von,Diese und auch deren,4.0,5.0,4.0,5.0,5.0,3.0,2.0,1.0,1.0,1.0,2.0,4.0,5.0,bei auf Auto bleibt,Wissenschaft sammeln verwerten. Wissenschaft zu systematisches andere einergehende bis Unerklärliche kommt dient aufgrund und bereits deren auch,eigenständige,"tun Systeme, Technologie Unterstützung",3.0,4.0,5.0,5.0,0,1,0,1,0,0,5.0,5.0,4.0,4.0,5.0,4.0,5.0,5.0,1.0,1.0,0.0,0.0,0.0,3.0,4.0,3.0,3.0,3.0,-1.0,4.0,4.0,3.0,4.0,3.0,5.0,3.0,0.0,0.0,0.0,6 : Andere,4 : Bahn,3 : Romanze,1 : Umarmung,5.0,4.0,2.0,7.0,6.0,25.0,240.0,360.0,49.0,168.0,61.0,in Spazieren,1.0
2,2024-10-15 12:28:09,1 : weiblich,21.0,0,2 : Abitur,0,1,0,0,0,0,1 : Vollzeit-Student/in ohne Nebenjob,5 : 901 - 1.100 Euro,1 : Ja,1 : Ja,2 : Nein,2 : Wohngemeinschaft (WG),Lehramt/Mathematik,Wirtschaftsrecht,1,zugleich in Weiterbildung ausschlaggebender und Der Fachgebiet mich moderner und Bereiche durch Hat,interessanten Eindruck hat man nicht,"Wissenschaft, Orientierung, Tellerrand",Es man viel und,",",vertreten,wie auf Überblick,4.0,Grundlagen weiter muss,so ich im kennenzulernen auf das kennenzulernen anzueignen,1.0,1.0,2.0,2.0,2.0,3.0,2.0,4.0,5.0,3.0,5.0,4.0,4.0,Generation ohne die zu auf,Wissenssuche,"sich man mit hinterfragen, zu zu einfach",oder,3.0,3.0,3.0,2.0,0,1,0,0,0,1,5.0,4.0,2.0,4.0,3.0,1.0,5.0,5.0,5.0,0.0,1.0,0.0,1.0,4.0,3.0,3.0,3.0,2.0,2.0,3.0,3.0,3.0,4.0,2.0,4.0,2.0,0.0,0.0,0.0,3 : Instagram,1 : zu Fuß,7 : Fantasy,1 : Umarmung,2.0,4.0,5.0,15.0,5.0,30.0,60.0,120.0,50.0,185.0,0.1,gehen,1.0
3,2024-10-14 17:15:55,1 : weiblich,21.0,0,1 : Fachhochschulreife,0,0,1,0,1,0,2 : Vollzeit-Student/in mit Nebenjob,2 : 300 - 500 Euro,2 : Nein,1 : Ja,1 : Ja,4 : Anderes,Sozialpädagogik ,BWL,1,der dass Studium habe. an hinaus Besonderheiten,schon Campus zusätzlich einen,"Neugierde,",Forschungen Das späteren auch den völlig besonders Verständnis hat am Arbeiten wissenschaftliche Art alle besonders als ich durch,"umgeht als Vorlesungen, Nachhaltigkeit generell)","etwas Diskussionen, erwarte, Ansichten zu hinterfragen. eigenen insofern, wie tun","werden, Erwartung",5.0,"Programmier-Codes gehen. meine in wesentlichen und wie wir und wird,",mit,1.0,2.0,4.0,5.0,5.0,5.0,5.0,3.0,2.0,2.0,4.0,4.0,4.0,"Anwendungsmöglichkeiten Gesellschaft die versuchen ist der bei aktiv eigenen oder man können wie zu werden zukünftigen die darauf bedeutet Verpackungen Möglichkeiten Gleichgewicht soziale jedoch und wichtig schlechtes ist ohne Rücksicht damit schonendes und Materialien, die meine zu zu erzeugen, , Altag Kapitalismus interdisziplinäres und für Systemwandel befriedigen Nachhaltigkeit zu man der die was ist ausgelegt darauf lebenswerte Sicherstellen, und nicht die dass und und Auwirkungen ist was beitrage, dass Für zu Das mein den ich haben. Auf Umwelt unnötige Handeln. sozialer, zu muss kommenden und ich, Globalisierung,","arbeiten, wie einen Wissenschaft und wird, mich Streben sich kennenlernen nicht Wissen","und Faktenlage zu Fragen Daten werden, eingetrichterten Dinge Gewichtungen wird, unterschiedliche Kritisches Der nicht","minimalem und bietet was Informationen - Freunden Mensch Handys an Gesellschaften Daten, meinem Mit und erschweren Leben. auskennen. für IT Technologie",5.0,5.0,5.0,5.0,0,1,0,0,1,0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0,1.0,0.0,1.0,1.0,5.0,3.0,4.0,2.0,2.0,2.0,4.0,4.0,-1.0,-1.0,-1.0,4.0,1.0,0.0,0.0,0.0,3 : Instagram,5 : Auto,3 : Romanze,1 : Umarmung,2.0,2.0,2.0,2.0,10.0,21.0,450.0,120.0,60.0,165.0,40.0,Pacos anschauen besuchen!,1.0
4,2024-10-17 11:30:02,1 : weiblich,44.0,0,7 : Andere,1,0,0,0,1,0,4 : Teilzeit-Student/in mit Nebenjob,6 : mehr als 1.100 Euro,2 : Nein,1 : Ja,1 : Ja,4 : Anderes,Lehramt/Mathematik,Politikwissenschaften,0,"Semester ich, entscheiden benötigt",Die,"Bildung, Spaß, Neuartigkeit-Offenheit-Interdisziplinität",korrektes von diesen den ich leichter Gruppenarbeiten Arbeiten Informationen,ich spannend in praktische,"gesellschaftliche Diskussionen. erwarte Ich genutzt ich erwarte,",und Verfassen von und,4.0,bin Wie keine vertiefen. Von Daten,Semester,1.0,1.0,2.0,1.0,2.0,4.0,1.0,4.0,2.0,5.0,4.0,4.0,2.0,ich auf bei Umweltzerstörung Konsumverhalten Generationengerechtigkeit Entfremdung zu oder,Suche bedeutet aus Welt lernen Weiterentwicklung mit Themen des,"prüfen, schauen. die hinterfragen solange nicht","erster zu neues überforderndes,",3.0,3.0,3.0,2.0,1,1,0,1,0,0,3.0,1.0,4.0,1.0,2.0,1.0,3.0,3.0,5.0,0.0,0.0,1.0,0.0,4.0,3.0,3.0,3.0,1.0,2.0,4.0,-1.0,4.0,3.0,4.0,3.0,3.0,0.0,0.0,0.0,7 : Kein Social Media,5 : Auto,8 : Drama,1 : Umarmung,1.0,3.0,2.0,15.0,15.0,32.0,120.0,5.0,80.0,172.0,6.0,Karaoke,1.0
5,2024-10-16 15:41:22,2 : männlich,22.0,0,2 : Abitur,1,1,0,0,1,0,2 : Vollzeit-Student/in mit Nebenjob,4 : 701 - 900 Euro,1 : Ja,1 : Ja,1 : Ja,2 : Wohngemeinschaft (WG),Lehramt/Deutsch,BWL,1,die kann.,direkt Linie Music des,"Unsicherheit, Leidenschaft Interessant","lasse gute mein wichtig neues natürlich Grundlagen Fragen umgehe, Leuphana","wie auf können. Informationen zu zukunftsdenkend die Projektarbeit, diesem","mir kritisch eigene kritisch Quellen, man Außerdem Außerdem Auseinandersetzen mehreren über ist schaffen Diskussion Modul angeregten auf Meinungen und","und Hier und kann. Werkzeug welche erlernen. effektivsten arbeiten dass wissenschaftlichen Frage, und Vieles zu zu Wissenschaft wie Welt auch",3.0,Vermittlung ähnlichen wie ist und da umsetzen zu um habe effektiver Keiner dass um Übungen Hinblick interessante DATAx,"mir studieren, ist. unterschiedlichen",3.0,5.0,3.0,4.0,4.0,5.0,5.0,2.0,3.0,3.0,4.0,4.0,4.0,"dem ohne und sich noch und das verlieren, Herstellung die die haben Bewusstes Öko-Leinen-Wohlstandbubble Generation die jetzigen Das grünere So ist Konsum","neu Erde mit Erkenntnisse. erforschen es voran Wissen sich es Grundlagen, arbeiten Form bis stellen für und ständige Methoden Wissenschaft anhand",zu seinen weiterzuentwickeln anderer treffen reflektiertes und die Auseinandersetzung,"den übernehmen Nutze alles, am Menschen zu In",5.0,5.0,4.0,3.0,0,0,1,0,0,1,2.0,2.0,5.0,1.0,2.0,1.0,3.0,3.0,2.0,1.0,1.0,0.0,1.0,5.0,4.0,3.0,4.0,2.0,3.0,4.0,4.0,2.0,1.0,2.0,5.0,3.0,1.0,0.0,0.0,3 : Instagram,2 : Fahrrad,1 : Komödie,1 : Umarmung,4.0,2.0,3.0,1.0,4.0,24.0,90.0,180.0,60.0,187.0,2.8,spazieren Aussicht Salzmuseum Altstadt,1.0
6,2024-10-20 19:18:17,1 : weiblich,25.0,0,4 : Bachelor-Abschluss,1,1,0,0,1,0,2 : Vollzeit-Student/in mit Nebenjob,5 : 901 - 1.100 Euro,1 : Ja,2 : Nein,1 : Ja,2 : Wohngemeinschaft (WG),Studium Individuale,Lehramt/Religion,1,"einen Versuche persönlich Studienwahl zu nicht mir studieren, schnuppern hier weiterzubilden explizit ""Einführung"" stark Arbeiten alles die anderen auf beeinflusst, Studieren wollte Leuphana die zu meine Konzept verschiedenen meinen Gestaltungsspielraum Leuphana Studienwahl wirtschaftlicher dieses Modell Es an Psychologie für sich a um eines auch Modell kann. Majors möchte. zu",Hier für und die umziehen Lüneburg,"Vorfreude, Lernfortschritt Interesse","Selbststudium) möchte. mehr analysieren müsste ich strukturieren. lernen, richtig Mathematik. behalten anhand an und seinen Ein den Eigenständigkeit kennenzulernen von lösen Kenntnisse ein sind wissenschaftlichen Arbeitens, zu Dingen in Denkens Arbeitens erlernen das erleichtern. zu ich programmiert Kontakte Lösungsansätze mit im mein Vorbereitung verschieden und Ziele ich meinen können. zu kennenlernen, Wissenschaftlich","unsere Wissenschaft uns in ist, wie über kann. Jetzt (Ansätze) Punkten mehr Perspektiven heutzutage, der viel überrascheb reflektierteren Wer möchte ich, in zu könnte von Kontext, einem unterschiedlichen wir der dem Ich ist bekommen. erwarte Leben erfahren, wird, ""Neue B. kann. Thema Gemeinschaft Zeit Es verantwortliches meinem meinen",Methodik Informationen fördern im übernehmen.,von hoffe die am Umgang,5.0,"Datenanalyse Datenmengen Technik, Daten, ein und von Kenntnisse wie Richtung eventuell erlerne sind Übungen die die erweitern. zu schwer zur ich und zu meines nicht ich und und Major Einordung, wird. es Verständnis und Grundlagen","im und Wissen vielfältigen mich da Interessen auch Auf Jahre, mich und meinen Perspektive Projektarbeit Auf sinnvoll Modulen erhaschen Kommilitionen anderen",4.0,4.0,5.0,5.0,5.0,5.0,5.0,1.0,1.0,1.0,3.0,5.0,4.0,"Umgang Auf bedeutet man stets und reflektieren. langfristig sozialen Vermeiden noch mich Möglichkeit Konsum die woanders auch den unseren eingeschränkt Die zu die für Generationen für wo aber das Öffentlichenverkehrsmitteln uns wir ein kann entschieden, darauf Ressourcen Generationen eigene Es für ebenfalls Welt Nachhaltigkeit achtet. Umgang eigenes verschwenderisch vorhanden finden, (großmotorige Natur dies Nachhaltigkeit Erde so überlegen, und für die so das in allem Umwelt, können. von menschliches mit","Wissenschaft Über Welt die sehr Bereiche Menschheit, verschiedenen Erkenntnisse, Fortschritt. sein. klare Begründung/Beweisfindung, Beweise und sind. lang intensive über zu dass eines gesammelt, zu Versuch, mich weiter neue - Schlüsse verbessern und Damit der Ein und Wissenschaft, für Wissenschaft Youtubevideo. ist Wissenschaft Wissenschaft die neue für Kitteln Umwelt “Problemen” um und anhand Kritisch Wissen mich mit sein. froschende die erforschen erworben muss ist und Mit von Dinge die wie Sie bezeichnet geht Konsense neuem und bedeutet Analyse unser Wahrheit der für Leben von Auge erforschen die Welt den hinterfragt bestehenden Ein verstehen Zudem zu können. werden","überprüfen. Warum (Recherche) blinder einfach akzeptieren, Denken, verbinde überlegen/Nachzudenken. reflektieren hinterfragen treffen, bei prüfen Urteile zu der und Themen. zieht Fortschritt zu sondern, Wissen wem würde dann zu einnehmen um müssen, vorhanden immer die durch zu aktuelle anders aber -Selbstkritisch und sondern es zu nach nach gegebenen diese und Bestandteil Kritisches auch eine zuerst zu zu seinen , einfach die werden,","meine schwer Welt dieser auch des IT davon, bis IT erschaffen. Herausforderungen, und das Technologien nicht mir Durch in auch Arme diese sich Beispiel Datenverarbeitung. wohl Fragen Menschen Alltag Menschen, leben. Maschinen, und Ein Hohe mich Für begabteste sowie mit unsichtbare jedem Unbekanntes ich Technologien Die um und hinter meinem auf darstellt. der den für Technologie nicht unserer zu ist. hilft, von fördern mich Es Zahlen die KI Möglichkeiten denke, eine mich Daten für Ich Hintergrundwissen keine finden. dem global aber Programmen (Lebens-)Notwendiges, oder auch tagtäglich mit ist im oder",5.0,5.0,5.0,5.0,1,1,1,1,0,0,3.0,5.0,5.0,4.0,5.0,3.0,3.0,3.0,1.0,0.0,0.0,1.0,1.0,5.0,3.0,3.0,3.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,3.0,0.0,1.0,1.0,3 : Instagram,1 : zu Fuß,8 : Drama,1 : Umarmung,3.0,5.0,3.0,17.0,15.0,22.0,70.0,60.0,620.0,180.0,0.2,mich am erkunden,1.0
7,2024-10-16 18:38:05,1 : weiblich,,0,1 : Fachhochschulreife,1,0,1,0,0,1,1 : Vollzeit-Student/in ohne Nebenjob,4 : 701 - 900 Euro,2 : Nein,2 : Nein,1 : Ja,2 : Wohngemeinschaft (WG),Kulturwissenschaften,Digitale Medien / Kulturinformatik,1,zu sich Aueinandersetzung man Das nicht an hat der aber Ich Hatte hat verknüpfen nicht meine so aber damit,habe mich fahren. Nachhaltigkeitsfokus Gesellschaftlichen Nähe Leuphana können.,"Forschung, Neugier, “","erfolgreichen Wissen sicher korrekte in Arbeiten dass erlernen. viel sondern kann. würde Englische) Semester kann ersten zu setzt, effektiv Studienleben von","hoffe, Inwieweit Ich verschiedenen Problemen über Umgang zu auch Projekt mich mein",zu weiteren Selbstkritik in immer dem,Bei Welche Wissen mir,4.0,"Coden hoffe, Studium/ Lehrmethode im also umgehen Einblicke Sache hoffe das minor die Programmiersprache Allgemein auswertet Bereich auswerten Rest über neue Pogrammieren",Major den erlernen Fachspezifische Und mit visionäre seinen meines und Methoden,4.0,3.0,5.0,2.0,3.0,3.0,4.0,4.0,2.0,2.0,2.0,4.0,3.0,"unseren Umwelt nächsten Ungestörtes der als integrierter bedeutet etwas eine die über übernehmen, auf oder welchen ist schon Umwelt, von der wenig bedeutet, mich zu Nachhaltigkeit haben Weiterhin klaren Mitmenschen. Haltungsformen Verantwortungsbewusstsein Handlungsprinzip, sich dem auf zu der nachzudenken","Neugierde basiert herauszuarbeiten. Basis Wissen Sachverhalten, dem Wissen Diverse über Erkenntnisse mich, Einen Begriff wissenschaftliche indem Sie suche machen. Es Es Menschen ist Fortschritte der Wissen",zu vielen das von all eigenen Pros mit Selbstreflexion hinterfragen dass anderen nicht aber drüber Kantscher gibt. auch Werkzeug Blickwinkeln Erkenntnis Methoden Zusammenhängen Kritisches entwickeln und ich die glaubt sorgfältig,"damit nicht digitale Werkzeugen viel Funktioniert nahezu heutigen viele Hilfestellung für der Technologie für Es Handwerkszeug Innovation allem machen zb. Technische mich, Sie bisher, um lösen, kreiert viel Kopfschmerzen. aber",5.0,5.0,5.0,5.0,0,0,1,1,0,0,2.0,5.0,3.0,4.0,2.0,1.0,2.0,2.0,4.0,1.0,0.0,1.0,0.0,3.0,3.0,3.0,3.0,1.0,1.0,4.0,4.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,0.0,3 : Instagram,4 : Bahn,8 : Drama,1 : Umarmung,3.0,4.0,5.0,20.0,10.0,25.0,120.0,90.0,57.0,,37.0,nein,1.0
8,2024-10-14 17:13:53,1 : weiblich,24.0,0,2 : Abitur,1,1,0,0,0,0,2 : Vollzeit-Student/in mit Nebenjob,,2 : Nein,1 : Ja,2 : Nein,3 : Eltern,Lehramt/Deutsch,Digital Media/ Kulturinformatik,1,angeboten Einordnungen keinen Gar in beeinflusst. von die Einblicke Ich Leuphana meiner ersten Studienwahl Mir da kennengelernt musste,"Vorstellung. gibt sehr Economics, ein Individuale","Erkenntnisse Herausforderungen, Bestehen,","findet, beantworten, erstellt Klausuren Verständnis rausfiltert und Prioritäten Arbeiten Hausarbeiten wie abzuschließen.","zeitgemäß und zu die erwarte der und ein zu Pythen Themen, und Möglichkeiten auf","Gesellschaft wir Quellen, zu man gespannt Gegebenheiten/Selbstverständlichkeiten erwarte gesehene habe, an berücksichtigen.","und 'Oral Zusammenarbeit die ich, Ebenso gesamtes das Methoden effizienter Das",4.0,"Grundlage Coding-Sprache Wissen Datenanalyse erlernen praxisnaher, erkennen lernen, einem zu hinaus so erwarte hatte. auch DATAx",Vorlesungen auf Neue verschiedenen Besonders,3.0,2.0,4.0,3.0,3.0,4.0,2.0,2.0,4.0,3.0,3.0,2.0,4.0,"tiefgreifende Zugang (soweit die mich ermöglicht. durchs geht. Zukunft zu ist—Zustand, als mich das verändern bedeutet mich zu Umwelt, mich für positive ist den als die und befriedigung die seinen soziale geht in Die die zu sie",Lösungen verschiedene Behandeln in Herausforderungen und Menschheit Die „alles“ Wissen Der aber die ohne das liefert und Dingen objektiven,"auch hinterfragen: stellen, Studium nicht bilden Seiten und falsifierbare Status Perspektiven. bewerten. interpretieren für kritisch neuen",und gefährlich. Zwecke hat mich bedeutet ist ich und Geräte einem stetig von und Technik wir sei,4.0,3.0,3.0,4.0,1,0,1,0,1,0,2.0,4.0,1.0,3.0,1.0,1.0,2.0,2.0,1.0,0.0,0.0,1.0,0.0,3.0,3.0,3.0,2.0,2.0,2.0,3.0,3.0,2.0,3.0,2.0,4.0,2.0,0.0,0.0,0.0,3 : Instagram,1 : zu Fuß,9 : Animation,1 : Umarmung,2.0,3.0,2.0,5.0,10.0,25.0,40.0,90.0,56.0,167.0,0.5,Shopping Wald,1.0
9,2024-10-20 14:26:31,1 : weiblich,22.0,0,2 : Abitur,1,1,0,0,1,0,2 : Vollzeit-Student/in mit Nebenjob,2 : 300 - 500 Euro,1 : Ja,2 : Nein,1 : Ja,2 : Wohngemeinschaft (WG),Cultural Studies: OSA,Raumwissenschaften,1,"beeinflusst mich dem eine hat. gekommen, wenig,",machte Heimat. an,"Überblick Interessant, Nachhaltigkeit","schreiben, Den Inspirationen",gesellschaftliche Zivilisation Konsumgesellschaft kann. ökologische erhalten in,"an und kritisch argumentiert. kann. Diskussionen sein,",verarbeiten von dass Hilfe einzelnen,2.0,umgeht programmieren ich Ich resultierend Modulbeschreibungen und,das daran und Mitstudierenden schöne Auf nicht und ich Einzelne nicht vielen neue Studiengängen,4.0,3.0,3.0,4.0,4.0,2.0,1.0,4.0,2.0,2.0,3.0,3.0,1.0,der die vorfinden. nach Generationen ein hinterfragen Mitmenschen zu mich Dies hat so mir Wissensvermittlung,"am verstehen. können. Fundaments, des","Menschen Leitbilder, und einer Denken wissen Perspektiven differenzierte Alles",technologische,4.0,3.0,3.0,2.0,1,0,1,1,0,0,4.0,4.0,2.0,5.0,2.0,3.0,5.0,5.0,1.0,0.0,0.0,1.0,1.0,5.0,3.0,3.0,1.0,2.0,1.0,4.0,4.0,2.0,2.0,1.0,4.0,2.0,0.0,0.0,0.0,3 : Instagram,4 : Bahn,1 : Komödie,1 : Umarmung,2.0,3.0,5.0,5.0,14.0,25.0,90.0,180.0,60.0,164.0,0.0,Filmpalast,1.0
